Input arguments:
id               resnet50_upernet_train
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_100x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/upsampling/
disp_iter        20
Model ID: resnet50_upernet_train-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 60560
1 Epoch = 500 iters
Epoch: [5][220/500], Time: 1.11, Data: 0.04, lr_encoder: 0.015957, lr_decoder: 0.015957, Accuracy: 96.28, IOU: 0.025867 Loss: 0.081967
Epoch: [5][240/500], Time: 1.10, Data: 0.04, lr_encoder: 0.015920, lr_decoder: 0.015920, Accuracy: 96.35, IOU: 0.025665 Loss: 0.080456
Epoch: [5][260/500], Time: 1.10, Data: 0.04, lr_encoder: 0.015884, lr_decoder: 0.015884, Accuracy: 96.41, IOU: 0.025493 Loss: 0.079075
Epoch: [5][280/500], Time: 1.11, Data: 0.04, lr_encoder: 0.015847, lr_decoder: 0.015847, Accuracy: 96.46, IOU: 0.025707 Loss: 0.076768
Epoch: [5][300/500], Time: 1.11, Data: 0.04, lr_encoder: 0.015810, lr_decoder: 0.015810, Accuracy: 96.52, IOU: 0.025689 Loss: 0.075452
Epoch: [5][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.015773, lr_decoder: 0.015773, Accuracy: 96.62, IOU: 0.026605 Loss: 0.073269
Epoch: [5][340/500], Time: 1.10, Data: 0.04, lr_encoder: 0.015736, lr_decoder: 0.015736, Accuracy: 96.70, IOU: 0.027255 Loss: 0.071010
Epoch: [5][360/500], Time: 1.10, Data: 0.04, lr_encoder: 0.015699, lr_decoder: 0.015699, Accuracy: 96.80, IOU: 0.028323 Loss: 0.069075
Epoch: [5][380/500], Time: 1.10, Data: 0.04, lr_encoder: 0.015662, lr_decoder: 0.015662, Accuracy: 96.89, IOU: 0.029273 Loss: 0.067613
Epoch: [5][400/500], Time: 1.10, Data: 0.04, lr_encoder: 0.015625, lr_decoder: 0.015625, Accuracy: 96.96, IOU: 0.029330 Loss: 0.066137
Epoch: [5][420/500], Time: 1.10, Data: 0.04, lr_encoder: 0.015588, lr_decoder: 0.015588, Accuracy: 97.04, IOU: 0.030236 Loss: 0.064418
